total_number_routes=10
total_route_len=1139.821
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 96.015 193 101-2-6-7-8-46-4-45-5-3-1--101
2 97.227 200 101-12-14-47-17-16-15-13-9-11--101
3 104.360 200 101-41-42-44-43-40-38-37-35-36--101
4 124.152 188 101-64-51-76-89-18-48-19-20--101
5 122.457 180 101-65-83-57-24-22-49-21-23-25--101
6 116.693 199 101-69-98-88-53-78-73-79-60-55-70--101
7 124.425 141 101-71-67-62-50-63-85-84-92-56-91--101
8 126.388 166 101-82-99-52-86-87-59-97-75-58--101
9 91.810 101 101-90-61-81-96-94-93-72--101
10 136.295 156 101-95-33-30-28-26-27-29-31-34--101
