total_number_routes=12
total_route_len=1252.031
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 106.697 101 101-5-45-83-18-8-84-17-60--101
2 136.389 166 101-21-72-39-23-67-55-54-4--101
3 55.696 58 101-27-69-76-40--101
4 86.999 122 101-28-26-73-41-22-75-56-74-2--101
5 126.937 146 101-48-47-36-19-49-46-82-7--101
6 115.837 149 101-50-33-29-79-81-78-68-24-80--101
7 129.212 181 101-59-37-14-44-38-86-43-100-98--101
8 114.966 121 101-62-88-30-20-66-32-70--101
9 106.129 77 101-63-64-11-90-10--101
10 135.657 110 101-65-71-51-9-35-34-3--101
11 75.876 130 101-94-92-42-15-57-87-97-95--101
12 61.638 97 101-96-85-91-16-61-99--101
