total_number_routes=14
total_route_len=1696.949
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 120.600 166 101-5-45-2-7-6-8-3-1-70--101
2 135.967 142 101-14-47-12-73-79-46-4--101
3 149.174 133 101-27-29-31-30-34-26-32--101
4 158.033 60 101-28-33-85-89--101
5 98.690 91 101-39-42-44-61-81-54--101
6 162.698 110 101-59-75-87-97-58--101
7 119.393 126 101-63-76-51-22-49-20--101
8 97.789 76 101-64-90-84-56--101
9 90.426 93 101-65-52-99-57-86--101
10 85.265 124 101-69-98-88-53-78-55--101
11 133.241 178 101-72-36-38-41-40-43-37--101
12 116.743 169 101-82-11-15-16-9-10-13--101
13 112.302 144 101-83-23-21-19-18-48--101
14 116.628 112 101-92-95-62-67-71-94-50--101
