total_number_routes=10
total_route_len=1135.479
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 125.643 194 101-14-47-15-11-9-87-59-74-86-57--101
2 108.901 200 101-22-20-49-19-23-48-18-21-25--101
3 102.545 200 101-42-44-43-38-37-35-36-40-39--101
4 102.266 176 101-61-70-1-3-5-45-8-46-4-100--101
5 92.714 150 101-69-98-53-12-17-16-13-10--101
6 107.448 163 101-80-91-56-95-62-67-94-93-71-72-54-96--101
7 133.042 148 101-85-63-89-76-84-51-64-83--101
8 100.870 184 101-88-60-78-73-79-7-6-2--101
9 134.450 115 101-90-65-99-97-75-58--101
10 127.601 194 101-92-50-33-32-30-28-26-27-29-31--101
