total_number_routes=14
total_route_len=1377.111
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 106.356 95 101-2-15-57-87-43-100-91--101
2 81.977 93 101-21-73-75-22-41-56-74--101
3 70.466 75 101-27-69-76-40-53--101
4 104.473 138 101-28-12-29-79-3-50-68-24--101
5 111.323 123 101-31-30-51-81-78-34-35--101
6 124.857 106 101-33-65-71-9-66-20--101
7 103.034 137 101-42-14-44-38-86-37-97--101
8 79.922 64 101-45-83-82-8--101
9 126.362 116 101-47-36-19-49-46--101
10 60.473 42 101-52-62-88--101
11 90.878 154 101-59-5-61-16-85-84-17-60--101
12 125.146 78 101-63-64-11-90-10-32--101
13 136.361 155 101-72-39-23-67-55-54-4--101
14 55.485 82 101-95-92-98-99-94-6--101
