total_number_routes=10
total_route_len=1104.656
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 130.611 158 101-26-21-39-23-67-55-4-25--101
2 94.834 146 101-27-76-3-79-78-34-35-81-77--101
3 119.024 163 101-47-36-46-8-84-61-85-98-100-93--101
4 128.491 129 101-50-33-65-71-9-66-20-51--101
5 115.033 180 101-52-7-62-11-64-49-19-48-82-18--101
6 78.463 96 101-53-40-12-68-29-24--101
7 113.310 176 101-59-37-91-44-14-38-86-16-17-5--101
8 107.373 120 101-69-30-88-31-10-63-90-32--101
9 113.452 161 101-83-45-99-6-87-57-2-13-97-95--101
10 104.065 129 101-92-42-43-15-41-22-75-56-74-72-73--101
