total_number_routes=17
total_route_len=1486.859
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 106.497 98 101-14-44-38-43-100--101
2 66.346 107 101-27-69-76-79-3--101
3 99.364 64 101-28-29-78-34-35--101
4 84.423 44 101-36-47--101
5 125.097 129 101-39-23-67-55-4-25--101
6 22.361 23 101-40--101
7 91.799 86 101-42-15-41-75-56-74-72--101
8 110.437 106 101-50-33-30-51-9-66--101
9 101.499 125 101-52-7-11-19-49-48--101
10 112.982 90 101-62-88-8-46-17-93--101
11 100.816 65 101-63-64-90-10--101
12 134.252 98 101-65-71-81-20-32--101
13 90.212 73 101-73-22-54-24-80--101
14 78.111 91 101-83-45-61-84-5-60--101
15 49.538 58 101-87-57-2--101
16 77.266 151 101-92-37-98-85-16-86-91-97--101
17 35.861 50 101-94-96-99--101
