total_number_routes=12
total_route_len=1556.013
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 117.178 196 101-2-45-1-3-5-8-6-46-4-60--101
2 139.350 144 101-14-47-73-78-79-7-55-70--101
3 139.085 189 101-33-28-27-26-31-34-50-93-94--101
4 141.693 188 101-36-44-40-38-41-43-35-37--101
5 120.831 86 101-39-71-67-84-56--101
6 125.776 98 101-42-61-81-90-68-54--101
7 125.536 167 101-65-83-19-23-18-48-21-25--101
8 109.051 151 101-69-88-53-9-10-13-17--101
9 143.389 173 101-82-11-15-16-87-97-75--101
10 117.869 128 101-85-63-76-51-49-22-20--101
11 129.684 126 101-91-64-99-86-57-74-59--101
12 146.572 78 101-92-95-62-29-30-32--101
