total_number_routes=15
total_route_len=17839.005
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1290.964 983 801-67-536-570-654-259-686-789-472-369-522-52-651-6-309-538-461-705-261-754-86-563-446-241-298-666-435-355-790-516-413-645-460-116-3-392-154-545-257-311-203-132-558-326-178-725-612-627-432-7-322-454-105-611--801
2 1172.818 955 801-139-712-192-405-603-141-720-650-605-117-780-37-124-348-515-49-150-724-488-271-769-19-542-310-193-167-762-36-530-308-680-509-608-787-61-742-125-123-408-138-354-91-564-756-496-778-128-223-464-296-672--801
3 1263.137 1000 801-194-788-383-497-643-597-796-289-656-245-798-548-26-562-108-321-144-773-490-389-377-437-397-561-518-718-174-424-469-280-17-358-197-243-676-701-657-533-318-294-213-42-75-441-706-716-69-54-179-359-222-400--801
4 1238.940 989 801-273-268-393-288-423-202-312-35-455-87-772-450-21-794-337-641-186-327-350-181-78-342-447-142-147-276-438-425-511-565-695-525-299-81-429-750-652-23-254-329-395-9-314-573-188-401-596-41-60-593-745-260-468-470-55-177-316-74-71--801
5 1252.723 881 801-279-44-46-403-575-552-391-721-679-727-752-92-560-748-356-600-543-682-648-313-281-102-487-398-688-500-617-121-467-665-200-741-378-735-10-572-453-278-185-199-172-709-235-171-195-232-157-531-595-173-182-792-4-747--801
6 1394.012 997 801-290-12-399-755-317-687-352-11-207-15-719-726-370-621-65-699-649-250-390-387-632-430-539-692-768-360-255-664-495-644-523-534-677-134-256-713-170-445-540-480-162-613-431-738-190-406-353-73-307-43-404-763-474-527-660--801
7 1143.236 994 801-331-381-580-482-282-217-380-58-210-176-678-187-601-333-84-685-714-774-269-702-119-415-262-130-736-675-588-499-8-394-160-700-347-112-737-671-610-546-367-412-226-263-757-32-191-284-30-148-38-569-783-581-216-767-614--801
8 1306.648 996 801-451-440-514-419-733-27-64-582-140-416-471-427-765-274-673-341-602-504-491-661-758-33-361-336-349-295-690-283-598-332-93-118-101-175-795-550-484-764-698-149-209-537-730-264-591-696-228-760-411-646-133-631-152-396-251-667-521--801
9 1011.156 880 801-452-526-571-16-771-159-375-604-659-639-576-466-711-637-670-622-586-402-506-704-770-306-800-252-674-492-66-510-59-761-463-449-630-734-635-62-606-158-567-519-34-285-457-524-229-230-638-594-744-221--801
10 1253.237 900 801-493-1-618-2-620-418-566-275-583-625-448-483-759-541-388-476-746-547-731-302-462-270-549-554-292-615-782-115-339-799-196-330-265-77-410-426-214-628-717-479-376-791-53-45-722-658-31-215--801
11 1186.620 995 801-520-684-512-236-208-640-297-409-83-494-206-146-40-22-777-486-258-529-668-364-728-109-739-166-669-532-662-72-374-681-501-224-585-287-183-477-25-184-5-315-56-589-579-95-384-694-219-80-143-642-145-50-164-225-113-489-382--801
12 1117.302 921 801-559-344-784-94-218-231-535-168-517-111-655-129-421-373-338-305-366-18-786-697-151-334-242-422-633-478-363-779-90-420-345-163-239-481-89-137-220-414-503-753-204-135-324-85-238-710-323-234-201--801
13 983.396 919 801-584-233-248-291-407-616-48-63-475-689-785-574-211-599-740-428-693-385-357-528-79-293-663-24-372-365-253-76-39-793-434-13-20-647-553-351-136-70-368-240-508-626-131--801
14 1101.126 829 801-623-267-106-498-433-107-578-443-708-28-104-732-751-304-743-51-379-169-156-122-96-797-607-335-198-29-715-781-97-246-165-346-212-691-14-303-513-683-624-439-286-300-568-272-180--801
15 1123.690 991 801-653-590-244-505-459-100-634-343-729-153-340-319-99-189-556-456-557-444-98-301-502-707-577-465-320-776-723-473-766-110-619-629-88-249-120-636-205-155-68-555-247-442-458-227-362-551-587-386-266-114-325-126-277-82-371-161-609--801
