total_number_routes=18
total_route_len=3150.114
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 133.211 198 201-1-31-113-185-92-48-169--201
2 205.941 200 201-4-15-70-129-43-85-191-94-12-82-47-22-174-39--201
3 141.124 199 201-45-32-38-84-90-138-118-88-99-111--201
4 116.695 175 201-46-164-54-141-151-188-56-175--201
5 196.350 196 201-57-104-95-77-127-58-23-178-19-198-114--201
6 211.429 199 201-63-44-5-3-130-11-86-131-66-50--201
7 174.800 194 201-73-183-30-34-128-142-98-159-100-13--201
8 212.253 196 201-87-161-16-115-162-171-170-122-8-42--201
9 126.320 176 201-106-125-89-65-96-29-110-37--201
10 173.754 200 201-120-156-51-26-126-176-69-165-124-103--201
11 145.507 197 201-132-7-55-150-36-68-79-158-172-18--201
12 84.741 199 201-140-24-196-59-60-35-101-154-81--201
13 186.773 198 201-143-21-123-168-139-187-78-148--201
14 187.533 197 201-145-121-192-53-17-2-76-200-40--201
15 165.395 200 201-147-135-93-199-109-28-182-75-41--201
16 224.809 194 201-152-62-194-20-163-136-6-189-177-102-173-10--201
17 198.943 197 201-155-67-137-25-116-61-117-160-49-180-195-27-133-64--201
18 264.534 198 201-157-184-153-71-166-33-193-186-144-179-190-167-72--201
