total_number_routes=11
total_route_len=3833.905
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 350.107 700 401-31-62-89-36-323-64-23-9-192-175-348-149-374-204-165-39-395-311-179-300-291-135-134-63-107-43-85-277-332-90-126-56-82-243-71--401
2 339.036 660 401-75-383-252-147-341-329-269-335-271-388-69-249-398-197-93-373-241-148-208-11-280-258-41-116-343-312-118-130-86-52-270-6-247-40-70-164--401
3 312.084 700 401-162-27-174-22-325-100-275-189-154-34-260-237-352-359-101-28-351-297-29-205-143-232-184-245-219-155-336-217-393-301-66-98-246-195-363--401
4 341.933 700 401-177-337-133-119-137-21-240-370-2-284-357-283-151-212-7-59-19-319-308-307-259-92-38-183-382-17-65-330-392-294-265-366-96-221-340--401
5 318.486 670 401-213-391-218-15-49-51-239-211-292-333-188-171-152-210-339-185-397-375-251-12-68-279-316-322-42-231-8-234-305-381-209-48-361-390-286-61--401
6 321.089 680 401-216-191-362-371-276-225-367-290-235-227-180-287-298-83-295-169-263-14-384-304-91-46-220-173-102-4-228-328-356-400-342-79-315-257-288-138--401
7 376.232 680 401-238-35-127-321-236-358-253-254-178-248-349-97-60-389-272-122-360-186-350-141-386-201-32-285-123-13-47-380-160-289-121-181-74-365-378--401
8 352.271 690 401-262-115-309-345-203-1-67-53-372-224-104-353-264-139-190-385-194-278-54-136-273-261-200-87-226-80-158-30-153-376-207-303-215-145-368-318--401
9 299.174 700 401-296-25-170-144-302-313-129-37-182-293-124-18-140-120-250-274-26-299-268-196-306-214-267-399-281-229-57-161-326-344-354-364-16-88-266-255--401
10 372.577 700 401-324-331-256-379-73-163-146-172-222-114-369-94-112-117-44-159-125-103-108-58-193-187-132-199-24-338-3-77-230-244-233-167-314-317-33--401
11 450.916 680 401-355-84-387-166-20-347-128-377-105-110-346-202-157-156-50-198-113-142-206-95-327-5-223-310-78-10-168-334-394-45-55-111-81-396--401
