total_number_routes=72
total_route_len=31007.161
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 325.304 200 801-3-52-349-507-331-485-776-586-785-417-456-118--801
2 497.305 200 801-9-152-421-258-104-715-490-580-119-117-65--801
3 497.468 200 801-32-55-166-72-781-620-342-738-115-98-80-85-488--801
4 345.911 200 801-36-209-443-26-96-14-529-583-623-176-143--801
5 493.218 200 801-75-344-519-329-413-740-186-339--801
6 651.665 198 801-89-743-184-228-700-182-347-684-289-293-333-657-5--801
7 600.729 200 801-101-362-695-4-765-215-263-451-357-566-292-116--801
8 508.047 200 801-102-237-426-17-302-267-112-113-630-126-64-255--801
9 572.246 200 801-103-675-470-730-768-408-502-467-131-741--801
10 454.885 200 801-121-238-334-224-643-322-171-514-348-611--801
11 451.295 200 801-160-315-466-13-453-6-711-283-729-148-381-734--801
12 408.491 200 801-165-76-99-420-482-653-157-192-556--801
13 663.250 200 801-174-47-294-693-20-647-28-654-259-667-658--801
14 389.825 200 801-175-161-147-744-723-262-34-555--801
15 554.704 200 801-190-425-650-318-261-87-551-56-698-44--801
16 338.518 199 801-191-755-710-655-401-7-326-767-27-328-83--801
17 528.447 200 801-197-179-613-493-526-434-603-627-541--801
18 524.919 199 801-218-577-311-478-330-221-370-469-74--801
19 507.066 200 801-235-431-341-471-327-407-240-475-550-659--801
20 283.746 200 801-247-366-751-702-798-214-135-644--801
21 339.838 200 801-254-398-546-701-386-677-12-498-673--801
22 373.812 200 801-264-637-635-516-410-639-290-476-250-678-336--801
23 502.350 200 801-271-618-735-246-79-279-552-154--801
24 432.430 200 801-275-473-739-260-387-16-134-153--801
25 550.126 200 801-291-601-196-593-688-136-178-536-298--801
26 426.192 200 801-301-506-559-460-350-539-533-383-592-757--801
27 464.183 200 801-316-220-589-231-403-308-789-206-361-699-726--801
28 550.201 200 801-319-45-686-642-23-617-88-19-621--801
29 402.314 200 801-320-669-198-497-400-97-124-404-538-245--801
30 235.135 200 801-346-584-573-496-708-428-492-591--801
31 266.901 199 801-354-120-67-717-281-222-138-70-512-352-106-430--801
32 514.767 200 801-356-309-793-759-62-95-494-382-792-415-629--801
33 438.566 200 801-360-548-177-86-716-557-689-340-788-204-794-369--801
34 271.280 200 801-368-697-133-450-149-29-463-631-503-297-91--801
35 477.887 200 801-385-608-46-651-59-447-232-414-397-374--801
36 428.030 200 801-391-325-270-554-402-607-797-377-40--801
37 544.085 200 801-394-303-256-265-128-545-253-753-299-185-625--801
38 360.058 200 801-412-725-141-674-122-353-242-41-679-241--801
39 542.650 200 801-433-307-100-107-173-648-612-49--801
40 361.524 199 801-437-73-779-662-287-660-491-524-578-167-780--801
41 262.581 200 801-439-399-332-30-600-575-223-306-310-211-733--801
42 461.705 200 801-446-132-479-151-703-691-762-168-595-800-158--801
43 527.828 200 801-458-435-409-243-187-527-649-448-280-285-18-137-217--801
44 281.025 200 801-480-432-395-42-129-522-440-60-459-249--801
45 411.378 200 801-481-565-646-511-363-125-207-712-619-687--801
46 218.119 198 801-495-379-156-582-10-598-683-274--801
47 383.926 200 801-515-540-58-558-681-537-90-599-92-429--801
48 602.992 200 801-523-268-763-742-610-483-574-783-405-418-8-367--801
49 519.864 200 801-525-140-248-666-282-257-189-144-750-423--801
50 425.842 200 801-528-183-351-38-225-571-487-680-68-564--801
51 422.087 200 801-532-484-754-633-127-747-170-465-777--801
52 496.763 200 801-534-163-2-272-244-375-372-200-181-1-638--801
53 358.567 200 801-543-145-201-39-424-791-454-670-682-676-384--801
54 513.207 200 801-544-252-445-705-718-606-520-508-596--801
55 398.508 199 801-547-35-604-389-208-719-300-504-159-634--801
56 384.712 200 801-562-784-690-236-766-472-71-452-636-427-769--801
57 284.290 200 801-616-393-685-343-585-449-51-388-213-216--801
58 376.183 200 801-640-505-312-57-15-355-724-188-43-11--801
59 205.373 199 801-645-671-142-105-513-441-94-553-203-416--801
60 545.158 200 801-652-345-707-722-694-139-109-164-665-517-786-33--801
61 432.396 199 801-668-542-219-656-770-376-266-442-380-230--801
62 514.339 200 801-672-749-587-594-195-622-455-799-25--801
63 324.406 200 801-704-521-114-37-419-69-628-756-212-518-273--801
64 508.377 200 801-713-746-227-590-720-614-295-406-155-296-795--801
65 427.922 200 801-728-411-337-509-277-313-422--801
66 511.984 200 801-736-314-641-31-626-233-371-53-605-706--801
67 155.824 199 801-737-130-692-162-436-229-335-392--801
68 620.205 200 801-758-438-50-338-560-61-123-77-378-531-782--801
69 284.883 200 801-764-572-752-54-632-323-563-727-569--801
70 263.878 200 801-772-93-661-358-373-790-194-269--801
71 429.279 199 801-778-288-549-774-732-576-21-324-581-775--801
72 374.191 200 801-796-251-561-760-588-317-530-499-570--801
