total_number_routes=19
total_route_len=25309.458
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1240.496 924 1001-6-921-73-594-772-287-664-846-760-33-61-459-314-162-263-840-680-864-99-836-28-893-584-403-961-812-420-726-604-261-242-725-189-374-529-937-519-744-410-219-733-227-694-926-716-520-487-452--1001
2 1510.619 995 1001-36-662-39-983-469-482-705-395-736-933-327-1000-280-561-54-208-278-698-212-790-699-810-321-448-861-103-401-992-186-919-244-596-464-506-678-393-196-530-150-501-168-930-315-474-392-585-780-126-575-177-801-865-787-176-997-544-895-144-290--1001
3 1477.830 979 1001-139-364-210-703-330-832-192-510-813-228-246-616-771-549-633-914-599-264-53-110-657-149-175-249-562-445-333-827-732-231-638-875-907-171-731-762-618-833-202-627-377-823-516-106-768-291-822-129-655-465-665-209-438-426-411--1001
4 1382.571 805 1001-269-849-653-286-389-489-346-90-221-199-301-532-936-615-641-352-159-791-722-96-434-121-109-945-837-577-614-972-958-555-819-935-85-285-211-821-755-691-123-86-156-904-897-677-112-58--1001
5 1119.489 955 1001-313-251-977-250-872-481-276-197-578-163-517-468-271-46-391-172-24-419-982-38-135-882-974-282-431-572-758-13-115-218-322-843-874-296-413-569-382-198-858-660-281-848-303-131-702-978-241-338--1001
6 1461.831 978 1001-316-946-806-667-284-235-337-255-456-111-405-889-686-892-815-635-799-788-941-47-194-924-458-646-729-440-93-728-735-687-514-587-161-876-88-272-920-916-879-21-125-764-566-130-397-593-557-294-912-184--1001
7 1203.044 993 1001-349-20-741-476-649-811-996-563-689-835-910-417-556-867-160-740-588-293-778-43-611-239-225-857-963-375-915-182-45-579-909-995-613-706-789-238-666-143-360-362-232-955-640-754-222-767-734-463-8-414-107-775-553-994-944--1001
8 1403.077 971 1001-490-986-80-275-743-437-41-325-648-446-141-339-70-672-309-609-905-366-786-712-987-718-216-29-475-546-523-423-299-528-574-612-256-769-40-590-2-903-477-455-763-486-422-753-540-447-297-378-324-695-370-597--1001
9 1269.308 993 1001-493-436-332-201-351-988-968-358-195-543-334-573-341-554-817-164-128-439-592-863-388-621-122-688-940-956-509-600-715-451-101-511-513-745-259-356-749-35-751-74-441-537-834-693-586-684-639-152-568-779-230-870-739--1001
10 944.374 991 1001-547-421-59-283-816-368-581-899-536-911-953-991-140-42-306-385-77-782-795-943-947-535-499-781-237-922-158-784-173-258-326-497-470-617-746-507-619-831-253-860-300-243-541-521-526-273--1001
11 1369.071 969 1001-606-113-193-608-224-83-449-650-631-847-673-457-98-661-538-776-783-357-800-820-412-531-571-298-856-425-119-64-91-878-81-188-923-724-215-478-844-515-965-67-432-491-962-565-645-683-723-913-605-32-738-165-888--1001
12 1193.229 989 1001-802-89-76-279-257-108-602-748-866-804-654-668-266-709-406-433-44-62-674-142-120-466-398-174-869-498-399-626-980-71-855-610-979-7-387-292-343-931-277-304-302-345-49-318-629-57-56-312-492-495-625--1001
13 1249.196 1000 1001-803-582-289-793-512-369-206-11-894-15-26-450-416-319-344-500-488-620-148-630-65-948-853-877-443-975-885-642-308-408-367-761-797-365-632-136-233-31-942-949-828-427-127-589-675-690-361-157-3-692-348--1001
14 1126.779 722 1001-807-548-72-607-134-124-132-323-752-307-181-34-989-564-335-483-700-560-226-551-359-18-200-713-23-247-213-714-759-902-954-766-854-355-964-681-750-957-494-203-154-539--1001
15 1382.181 999 1001-818-204-22-826-295-644-180-845-765-418-628-906-460-777-891-10-236-16-51-932-814-133-147-595-925-851-656-524-711-84-842-591-663-570-480-960-701-518-473-138-824-114-267-756-166-328-331-383-971-525-376-670-190-679-50-839--1001
16 1537.787 982 1001-850-145-598-55-502-310-985-146-901-601-505-104-305-737-696-868-240-407-48-883-527-485-634-796-169-504-17-939-841-970-117-981-461-774-918-967-52-558-545-697-118-966-859-394-30-721-12-647-938-934-400-415-805-336-381-951--1001
17 1710.119 994 1001-898-624-704-623-871-347-262-794-770-829-342-78-79-428-151-102-153-719-559-552-105-669-643-825-363-311-94-622-990-14-952-534-792-900-373-637-245-25-444-178-886-92-396-75-340-862-969-97-928-82-353-270-472-682-550-69-730-252-658--1001
18 1564.755 886 1001-984-170-372-386-435-155-265-484-354-183-453-976-890-214-522-757-60-959-785-288-1-533-671-187-329-317-37-471-973-384-9-567-747-260-727-479-205-927-380-873-808-999-66-5-707-207-320-371-229-881-652-576--1001
19 1163.701 993 1001-993-220-454-542-4-929-917-852-462-442-685-167-508-404-809-254-798-268-773-884-998-248-379-720-223-234-908-424-742-496-717-708-659-676-636-274-63-217-651-838-430-409-68-429-185-467-830-402-100--1001
