total_number_routes=23
total_route_len=10850.357
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 319.182 540 801-16-321-543-515-92-649-135-576-420-36-619-107-145-224-686-568-781-570-438-68-749-162-450-486-27-251-330-526-246-186--801
2 480.525 680 801-37-236-712-32-478-683-319-498-430-298-245-415-294-539-571-723-403-789-310-240-261-300-704-252-113-332-524-31-346-413-12-795-343-393-631-607--801
3 448.257 700 801-45-153-358-496-410-685-263-427-335-446-54-698-62-35-97-725-648-44-286-606-791-706-574-681-506-532-180-93-14-232-578-174-512-363--801
4 385.296 700 801-51-164-179-127-637-181-203-556-772-146-265-134-391-379-598-148-210-171-8-243-11-302-651-320-639-494-614-308-46-493-275-473-531-720-352--801
5 517.852 670 801-84-242-398-400-282-575-76-250-115-454-56-582-168-668-244-269-200-793-211-101-434-761-57-599-490-377-69-423-122-318-553-94-289-717-277--801
6 513.323 690 801-108-42-459-133-629-9-443-439-158-212-497-285-110-561-759-461-662-627-782-737-513-169-361-79-306-688-455-679-560-611-218-206-387-533--801
7 465.250 690 801-116-147-2-797-726-384-701-507-729-792-138-43-372-102-687-756-675-577-508-623-292-680-34-468-67-340-672-564-305-502-144-634-385-253-3-316--801
8 500.651 640 801-195-21-608-433-748-412-167-733-143-175-155-428-644-119-476-466-109-525-690-432-383-530-682-710-226-718-214-474-29-347-249-307--801
9 589.534 690 801-229-197-425-192-89-435-641-667-342-401-184-125-18-209-479-758-30-40-727-495-707-721-72-659-544-329-417-650-632-120-141-82-732-409--801
10 537.612 660 801-293-273-81-360-510-38-481-297-99-227-233-624-653-187-771-694-742-303-449-419-640-25-157-322-137-338-117-165-757-394-785-709-26-324-264--801
11 545.760 700 801-312-315-594-584-798-453-638-348-750-635-161-469-85-731-15-538-559-626-621-172-483-783-790-357-272-130-151-39-325-159-22-1-392--801
12 635.824 690 801-337-61-304-368-467-472-268-722-239-136-516-471-715-700-605-545-593-121-475-386-216-64-620-288-309-763-585-405-550-406-536-150-389-736--801
13 326.709 590 801-351-106-190-365-689-341-580-799-71-334-551-95-555-345-257-225-492-336-587-470-65-521-677-13-719-256-354-152-751-661-75--801
14 354.915 630 801-375-396-615-87-777-416-735-429-491-663-202-484-673-527-10-235-399-766-780-745-220-301-664-193-222-658-558-77-390-656-66--801
15 487.631 700 801-395-426-388-267-447-20-353-160-260-693-311-333-528-743-328-344-178-183-600-573-458-131-602-382-291-590-537-547-28-86-19-603-625-567-441--801
16 299.448 680 801-404-566-702-411-60-112-185-378-630-237-266-142-55-359-728-6-752-4-535-778-734-549-23-654-274-645-52-666-617-247-445--801
17 483.413 660 801-408-660-373-189-231-128-96-371-241-437-91-53-50-779-402-234-323-610-88-509-442-118-355-760-219-596-356-208-194-541-754-724-313-705-552--801
18 401.925 610 801-422-436-284-769-776-464-248-80-132-374-457-381-542-696-173-78-697-276-770-499-562-692-170-207-583-74-156-579-283-299-767-487--801
19 491.854 700 801-633-518-228-223-485-646-41-739-565-642-529-213-259-440-98-765-768-695-90-58-199-643-480-177-773-671-628-7-523-488-794-295-482-716-465--801
20 429.827 620 801-652-407-505-504-563-460-746-708-514-519-703-586-647-448-747-191-364-444-522-665-201-59-431-500-49-424-154-569-48-414-800-221-376-591-548-738--801
21 528.854 700 801-714-657-589-670-47-601-636-198-238-520-331-762-609-489-775-182-612-166-380-452-366-397-370-105-290-230-730-73-684-70-205-287-678-501--801
22 562.673 630 801-741-100-744-83-5-456-540-367-588-111-217-581-546-296-349-123-755-534-271-369-204-787-176-418-278-124-764-421-350-713-254-463-597-327--801
23 544.041 640 801-786-604-163-753-339-215-691-740-774-270-669-314-129-126-616-280-258-362-17-279-503-188-613-784-557-511-196-33-63-114-554-149-103-255-140--801
