total_number_routes=28
total_route_len=15988.207
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 560.616 640 1001-97-189-859-587-14-346-50-565-716-806-214-116-839-961-552-3-705-243-55-860-595-161-544-828-440-272-564-784-657-377-747-458-977-508-470-906--1001
2 755.862 700 1001-98-119-650-457-107-518-935-576-598-727-165-863-294-223-607-510-693-205-331-655-259-706-864-715-381-912-443-849-297-592-883-588-139-384--1001
3 452.536 700 1001-141-314-526-170-296-559-236-513-867-890-542-900-292-428-794-23-680-126-878-282-61-348-146-584-312-115-118-310-80-99-47-807-182-15-600-149--1001
4 674.566 690 1001-180-656-833-138-363-821-622-606-7-212-109-483-156-978-619-92-790-193-632-996-186-938-928-737-22-950-568-710-304-39-154-6-113-522--1001
5 650.728 700 1001-210-203-406-88-922-932-63-846-861-224-896-898-44-427-254-124-876-465-894-451-546-295-365-435-211-534-323-351-395-704-779-617-454--1001
6 538.242 700 1001-308-862-881-474-604-94-987-285-997-945-220-401-567-872-194-973-668-648-781-174-724-368-56-778-330-482-634-84-128-328-529-844-902-975-675--1001
7 504.857 700 1001-309-575-437-415-219-438-58-843-838-204-343-924-547-771-562-578-837-773-869-91-268-788-274-984-926-1-808-506-528-329-968-461-414--1001
8 318.256 660 1001-318-674-602-271-798-743-639-739-417-325-430-660-901-573-591-603-560-579-533-748-709-633-336-2-153-527-36-68-615-503-830-324-215--1001
9 436.668 700 1001-333-613-473-829-911-540-891-397-535-713-142-441-511-28-783-964-836-974-769-797-596-940-114-919-628-755-751-432-237-300-816-261-341-948-585-239--1001
10 633.247 690 1001-350-826-279-858-338-981-810-238-448-630-218-305-227-744-927-42-782-614-851-969-653-998-200-847-326-692-834-354-687-979-845-31-335-731-577--1001
11 525.352 690 1001-356-589-835-110-566-889-86-339-132-475-825-195-413-669-512-148-262-159-362-400-26-854-347-682-536-185-246-169-939-53--1001
12 522.719 650 1001-382-903-504-943-337-777-37-41-944-551-855-850-563-666-994-627-694-538-196-923-373-191-742-548-795-880-290-866-90-425-612-344-571-101-25-642--1001
13 644.016 700 1001-383-252-183-554-550-449-422-963-313-281-914-605-17-121-480-484-992-275-985-721-677-29-658-493-273-768-787-158-151-407-620-643-933-553-18--1001
14 673.547 680 1001-389-745-213-155-495-134-49-34-471-468-772-908-818-824-171-485-791-583-396-144-986-725-65-832-192-30-766-372-410-954-179-439-48-66-796--1001
15 506.122 670 1001-405-421-983-586-431-108-597-104-442-277-875-27-599-393-166-631-59-638-176-228-557-424-316-306-289-122-696-60-476-740-102-532-466-930-817-842--1001
16 645.517 690 1001-408-143-531-738-77-1000-749-455-499-164-201-909-70-678-918-685-701-910-416-11-700-52-496-244-952-515-404-621-770-319-477-370-409-759-490--1001
17 484.590 690 1001-420-291-12-172-545-712-8-720-999-555-936-641-453-188-265-814-917-663-488-380-266-920-761-216-284-140-831-965-247-688-287-803-327-240-283-752--1001
18 696.169 660 1001-423-64-729-757-957-345-530-450-988-516-953-233-5-885-147-853-726-989-789-72-815-369-32-785-681-774-990-392-131-661-190-355-871-699--1001
19 533.945 690 1001-472-610-970-376-635-539-684-601-524-623-971-481-886-525-736-848-103-40-593-168-270-505-955-135-897-893-74-683-636-231-691-334-629-21-452--1001
20 547.875 610 1001-509-394-130-580-230-722-359-303-689-385-269-106-446-501-697-541-800-79-436-54-879-537-357-523-679-93-311-16-260-507-805-105-916-649-221-702--1001
21 658.756 680 1001-590-111-673-379-197-776-640-38-258-95-572-951-250-206-278-253-857-809-856-209-941-444-127-371-888-574-711-904-780-765-299-433-386-177-222--1001
22 392.509 700 1001-651-342-73-78-827-352-67-96-746-652-491-187-960-390-184-494-907-403-374-20-521-245-764-519-775-958-962-728-202-35-884-882-671-865--1001
23 578.157 680 1001-665-582-241-561-257-786-459-229-62-426-307-251-895-167-763-199-129-33-802-502-695-467-754-360-87-418-464-947-841-248-317-698-644-719-609-82--1001
24 618.205 690 1001-718-462-937-647-905-255-758-398-811-429-76-162-234-57-915-340-71-24-750-741-358-198-51-868-412-517-152-734-112-100-618-378-812-399-925--1001
25 432.696 700 1001-767-280-921-387-445-690-19-249-654-662-267-946-136-756-543-723-717-570-487-69-321-813-980-581-173-616-75-646-402-349-163-934-276-819-793-486--1001
26 760.117 700 1001-804-913-391-659-801-822-877-760-137-181-608-10-892-753-217-664-707-762-288-703-972-232-83-125-799-263-226-145-235-956-207-160-45--1001
27 706.529 690 1001-929-9-625-460-419-730-364-991-820-117-500-479-178-874-242-434-735-463-133-840-549-361-175-301-558-456-489-120-366-887-43-672-208-353--1001
28 535.807 700 1001-942-733-967-823-792-993-298-670-322-520-569-320-995-375-469-286-982-870-4-411-852-556-514-85-594-498-123-966-624-714-497-931-492-46-611-667--1001
