total_number_routes=90
total_route_len=44472.346
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 163.857 198 1001-11-983-393-87-402-389-296--1001
2 363.837 197 1001-14-304-77-823-613-635-134-930-424-203-64-562-979--1001
3 333.185 195 1001-17-679-657-238-281-876-2-448-440-862--1001
4 382.653 196 1001-21-762-636-870-325-884-490-997--1001
5 471.799 196 1001-38-672-493-890-390-247-604-191-877--1001
6 671.472 195 1001-59-225-853-10-656-761-442-324-208-106-13--1001
7 367.309 197 1001-63-105-146-315-545-685-518-24-863-430-597--1001
8 586.256 200 1001-82-710-256-409-439-8-378-463-485-218--1001
9 576.444 192 1001-88-49-986-630-253-671-262-524-72--1001
10 631.740 200 1001-96-901-856-809-380-165-616-278-546--1001
11 711.934 200 1001-104-962-999-200-499-468-948-651-840--1001
12 413.543 198 1001-114-215-401-692-515-690-573-560-123-303-260-207--1001
13 587.343 199 1001-144-147-366-782-705-268-664-102-586-335-980-619--1001
14 253.103 184 1001-149-93-271-850-886--1001
15 543.272 197 1001-150-963-637-219-665-345-361-950-716-784-249--1001
16 429.086 198 1001-161-60-869-830-381-601-822-587-791-583--1001
17 659.825 199 1001-171-239-455-23-445-638-131-571-320-132-661--1001
18 105.167 197 1001-176-793-230-779-272-344-453-261-686--1001
19 498.117 200 1001-179-512-55-892-702-774-828-821-431-473-498-459--1001
20 569.065 200 1001-190-212-916-743-530-411-415-333-187-700-158--1001
21 598.482 200 1001-211-71-15-582-56-936-910-1-802-831--1001
22 544.729 199 1001-220-466-229-752-585-740-917-465-61--1001
23 711.169 198 1001-231-456-242-337-183-454-110-969-708-122-108-965--1001
24 130.715 192 1001-234-206-760-5-763-605-607-386--1001
25 571.576 197 1001-274-844-364-377-452-223-282-198-172-232-643--1001
26 336.339 200 1001-285-883-514-405-85-400-502-69-580--1001
27 401.762 200 1001-293-706-248-501-578-633-652-435-259-54--1001
28 607.654 200 1001-297-712-480-84-164-680-277-4-893--1001
29 366.635 197 1001-300-298-731-891-323-958-874-471-889-89-677-711-269--1001
30 653.554 200 1001-305-748-488-418-914-266-816-343-572-559-73--1001
31 618.668 197 1001-334-152-139-880-634-359-340-770-551-292--1001
32 351.507 197 1001-354-878-362-906-107-327-240-549-487-154-90--1001
33 419.778 196 1001-363-629-725-768-233-522-592-91-956--1001
34 453.289 198 1001-370-148-534-37-974-932-436-330-475-617-217-265-237--1001
35 545.293 200 1001-373-310-621-457-563-827-947-632--1001
36 520.141 200 1001-383-308-746-539-867-837-666-503-507-257--1001
37 487.794 200 1001-388-733-885-44-653-479-31-125-543-663--1001
38 544.934 200 1001-391-796-540-565-667-129-470-982-371-403--1001
39 561.543 199 1001-407-538-319-902-811-421-993-575-243-907-842-433-221--1001
40 716.254 200 1001-437-376-554-589-625-966-975-111-120-295-766--1001
41 299.538 197 1001-451-228-581-855-311-734-347--1001
42 746.979 193 1001-462-640-851-881-943-204-422-717-687-410-99-151--1001
43 607.389 195 1001-474-1000-175-941-908-952-846-990-57-646-429-42-654--1001
44 480.941 197 1001-476-50-772-425-789-759-270--1001
45 289.225 200 1001-477-727-275-542-771-792-992-738-494--1001
46 476.349 200 1001-517-426-951-519-749-412-529-159-478--1001
47 603.925 198 1001-528-118-981-169-568-797-849-564-209-558-413--1001
48 495.160 200 1001-533-326-720-676-732-751-22-553-287-819-721-142-781-236--1001
49 603.721 199 1001-544-341-301-227-491-133-520-718-843-184--1001
50 524.271 199 1001-548-188-764-928-918-600-775-136-650--1001
51 320.729 200 1001-556-481-909-894-532-960-472-210-416-181-338--1001
52 664.359 200 1001-584-27-356-898-174-942-506-394-92-294--1001
53 592.039 200 1001-594-117-446-552-813-561-399-780-938-978--1001
54 594.945 197 1001-627-919-786-694-80-510-614-832-566-688-879-43--1001
55 648.989 199 1001-642-461-924-783-32-550-358-858-899-119-348--1001
56 410.038 199 1001-644-567-81-329-375-713-428-971-683-854-678--1001
57 562.240 199 1001-645-75-307-535-19-382-97-100-728-496-569-130--1001
58 123.826 198 1001-659-101-838-126-349-967-976-547-922--1001
59 591.942 200 1001-668-197-328-847-25-628-815-825-913-357-434--1001
60 757.112 199 1001-724-798-939-848-213-949-3-773-443-290-658-392-83--1001
61 674.493 200 1001-729-41-682-336-829-701-167-873-112-620--1001
62 609.052 200 1001-741-353-639-681-289-404-719-915-807-39--1001
63 639.697 199 1001-754-254-28-145-241-574-339-935-79-921--1001
64 685.952 200 1001-776-35-896-675-576-985-331-977-865-444-226-648--1001
65 434.869 200 1001-777-155-26-707-516-483-492-693-794-36--1001
66 676.132 199 1001-778-16-365-195-504-998-263-288-121-673--1001
67 315.314 198 1001-787-933-767-612-51-709-557-765-406--1001
68 406.586 197 1001-803-45-805-367-845-251-258-626-467--1001
69 650.454 200 1001-817-395-286-47-988-857-995-177-127-970-313--1001
70 415.732 199 1001-818-737-414-449-40-618-30-505-163--1001
71 544.776 200 1001-826-98-897-95-194-58-29-70-332--1001
72 678.690 198 1001-835-833-739-593-318-489-606-624-905-972--1001
73 464.347 198 1001-841-579-523-824-20-861-321-267-670-674-926--1001
74 512.059 199 1001-859-695-715-441-699-810-852-750-186-385--1001
75 180.989 197 1001-864-124-314-500-808-944-753-961--1001
76 444.071 198 1001-866-264-235-814-903-180-736-521-205--1001
77 273.187 194 1001-871-244-6-508-7-199-189-396--1001
78 580.025 200 1001-875-888-351-599-756-170-245-591-486-299--1001
79 530.038 200 1001-904-306-788-525-800-312-342-137-596-526-372-895--1001
80 491.065 197 1001-923-160-469-937-615-513-696-511--1001
81 568.957 193 1001-925-157-12-689-309-703-609-987-417-283--1001
82 270.692 199 1001-927-273-316-350-588-74-192-790--1001
83 290.677 196 1001-954-68-806-602-52-360-135-162-143--1001
84 389.097 197 1001-955-355-116-742-945-408-18-900-887-684-497--1001
85 393.561 194 1001-959-346-166-34-730-723-994--1001
86 576.817 198 1001-973-201-537-931-577-598-482-649-758-224--1001
87 719.071 199 1001-984-276-812-9-397-279-62-704-747-946-140--1001
88 371.839 200 1001-989-603-691-216-352-66-755-934-631--1001
89 174.797 199 1001-991-252-610-65-868-374-464-647-484-698-173-911--1001
90 654.771 197 1001-996-839-419-920-860-76-138-280-622-182-697--1001
