total_number_routes=18
total_route_len=24009.997
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1145.874 999 1001-93-850-271-741-88-297-211-431-821-892-702-774-828-71-253-630-986-262-671-15-582-56-104-443-773-3-949-200-848-999-962-939-948-468-499-213-290-658-392-936-910-1-39-498-459-202-398-597-430-631-722-224-284-67-296-590--1001
2 1207.575 940 1001-176-659-59-149-370-82-436-932-354-974-878-362-534-37-148-327-107-240-225-853-487-549-906-330-710-256-353-915-639-719-681-289-404-164-680-84-480-712-439-49-617-409-475-862-217-265-237-834-711-669-527-384--1001
3 1604.818 987 1001-230-838-126-349-464-374-868-65-610-886-440-448-2-876-281-657-308-539-867-220-419-839-466-746-197-229-752-328-585-740-847-815-860-656-761-442-324-8-807-524-277-378-463-4-968-154-622-106-208-485-893-218--1001
4 1390.792 996 1001-272-660-386-293-706-124-346-388-904-27-898-947-885-44-733-653-479-31-373-827-530-743-916-563-457-621-310-212-543-190-125-356-254-510-80-614-28-145-372-526-411-415-333-700-187-413-940-259-435-385-186-836-994-53--1001
5 1162.142 998 1001-275-114-363-38-300-629-725-298-874-215-401-692-515-428-713-971-375-155-26-707-516-492-483-301-227-133-491-520-928-918-775-600-299-247-444-865-780-938-121-673-978-804-103-159-529-820-877-192-790--1001
6 1092.744 995 1001-451-437-228-581-311-855-17-679-238-10-920-996-837-825-628-25-917-465-276-833-703-309-689-12-157-609-925-366-586-102-664-268-705-782-335-980-634-880-120-359-340-770-255-551-583-292-641-509-745-90-368-744-911--1001
7 1448.135 998 1001-477-727-285-74-588-514-883-143-162-135-360-52-602-954-68-806-768-233-522-958-891-731-89-323-471-260-303-690-573-560-123-683-548-777-188-794-24-826-992-655-738-494-934-863-758-29-70-332-432-72-460-662-831-802-83-912-250-338-178--1001
8 1449.859 994 1001-533-326-870-636-762-21-884-325-720-676-474-1000-908-452-377-364-844-856-809-165-41-616-278-682-336-231-456-242-183-337-873-167-701-829-380-729-131-674-112-953-399-561-749-191-604-956-207-136-447-226-648-611-650--1001
9 1132.020 973 1001-542-989-644-416-210-472-66-352-216-544-81-329-567-691-603-341-693-764-486-875-351-888-591-245-170-756-599-361-345-637-963-219-665-35-594-249-493-592-889-678-854-677-85-400-502-769-557-654-94-54-158-270--1001
10 1184.482 997 1001-779-991-252-234-476-508-355-395-116-742-945-286-408-18-900-627-887-684-786-47-988-857-902-421-811-993-575-243-728-100-382-97-19-535-511-513-696-30-505-497-995-177-127-832-566-688-879-163-86-43-799-396-872-714--1001
11 1348.196 996 1001-787-866-933-709-51-767-612-264-235-814-171-267-321-824-523-579-841-670-521-736-180-903-239-20-861-455-23-638-445-96-901-274-952-846-57-990-223-282-198-646-429-42-652-723-730-34-423-759-895-964-156-921-79-151-555-109--1001
12 990.043 982 1001-792-771-983-11-389-402-87-393-556-481-909-894-532-960-755-315-545-685-518-63-973-201-537-931-105-146-724-179-798-55-512-473-897-98-95-577-598-194-58-840-651-482-649-184-843-718-36-495-181-222-541--1001
13 1772.370 1000 1001-793-101-922-547-484-976-967-647-161-818-367-845-791-334-60-869-587-830-822-601-381-615-937-469-160-645-75-307-496-569-139-152-251-258-698-467-626-507-734-347-458-173-979-562-193-882-907-369-130-295-766-46-140-417-185-972-128-608-387--1001
14 1492.344 997 1001-859-206-961-808-754-753-944-584-305-694-462-748-788-525-596-137-342-312-306-800-174-914-640-851-881-943-422-343-816-266-488-418-572-204-717-559-687-942-574-241-294-92-935-339-394-506-99-410-73-438-313-970-842-433-221-623--1001
15 1488.574 994 1001-871-407-244-6-538-955-817-14-304-77-134-930-635-613-923-618-40-449-805-45-414-803-737-823-424-203-64-319-919-50-189-199-7-772-425-789-632-663-450-166-633-667-129-470-781-236-172-232-546-196-132-661-726-478-595--1001
16 1156.526 998 1001-927-273-316-350-517-405-426-778-672-784-150-776-716-950-896-675-813-576-552-117-446-16-365-998-504-195-110-454-969-708-122-965-108-263-288-320-571-985-331-977-390-890-91-379-519-951-412-33-205-620-322-403-48-765-406--1001
17 1091.145 980 1001-929-344-686-453-261-695-607-605-760-5-763-501-248-864-314-959-500-578-715-441-118-528-568-169-981-699-810-852-797-849-564-941-175-732-751-22-553-287-819-721-142-490-796-391-540-565-750-209-558-982-371-643-570-997-926-69-580--1001
18 1852.359 998 1001-984-383-144-642-147-835-668-987-739-593-905-858-625-966-975-589-554-376-461-924-783-32-550-358-318-489-606-624-62-279-397-9-704-747-812-61-666-503-76-138-280-913-357-348-899-111-119-619-946-434-283-785-257-168-697-182-113-13-78--1001
