total_number_routes=36
total_route_len=8450.804
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 173.670 196 401-10-317-24-150-274-204-125-280-261-325-287--401
2 205.055 195 401-45-273-190-26-338-56-240-141-243-8--401
3 333.953 198 401-46-247-333-208-352-265-139-238-293-37-367-171--401
4 152.474 195 401-51-319-349-7-88-165-228-179--401
5 345.740 200 401-84-30-149-252-198-18-332-158-191-266-253--401
6 152.849 197 401-86-90-163-172-116-276-130-258--401
7 186.771 192 401-91-314-388-170-156-269-161-313-63-233--401
8 177.204 200 401-104-11-42-40-57-209-154-60-9-54--401
9 247.177 196 401-106-397-35-175-59-383-289-2-68-229-284--401
10 131.361 200 401-138-218-303-181-213-143-89-199-182--401
11 279.108 200 401-155-328-246-99-114-237-23-22-132-301-113--401
12 207.946 197 401-160-34-82-327-267-307-369-329-107--401
13 216.883 200 401-164-72-309-380-16-127-92-214-162--401
14 209.199 196 401-168-48-52-275-5-79-121-50--401
15 230.226 200 401-177-382-4-184-211-117-360-268-372-145-166--401
16 325.834 200 401-187-223-286-212-285-20-144-29-176-295--401
17 140.980 193 401-188-43-142-109-391-259-315-225-169--401
18 234.360 196 401-206-381-115-105-111-348-157-80-1-392-242--401
19 268.566 198 401-210-361-377-222-350-75-32-277-19-81--401
20 232.548 200 401-216-224-342-87-230-134-67-147-193-194--401
21 224.120 200 401-236-379-21-65-97-36-378-173-346-131--401
22 284.238 198 401-241-292-343-308-62-264-140-53-370-256-101--401
23 230.523 200 401-244-270-357-294-318-271-55-321-61-235--401
24 231.642 200 401-250-119-69-136-41-102-128-129-366-74-47--401
25 220.015 195 401-260-15-38-96-219-153-49-197--401
26 242.189 196 401-290-64-364-25-257-354--401
27 161.246 199 401-291-394-334-28-227-189-137-186--401
28 368.115 200 401-296-221-255-3-112-387-231-254-374-371-239-365--401
29 226.542 195 401-298-389-263-103-385-316-245-124-85--401
30 236.514 193 401-302-251-159-71-148-320-390-312-373-207-192-396-39-395--401
31 296.910 199 401-304-341-118-331-6-272-306-205-83-200-12-202--401
32 225.778 198 401-311-58-123-14-248-351-358-93-300-17-94--401
33 155.635 199 401-344-336-120-27-368-95-215-310-146-133-122-217--401
34 333.069 198 401-347-322-195-70-345-283-152-126-135-297-363-201--401
35 285.757 197 401-375-278-262-151-110-183-330-393-234--401
36 276.608 193 401-386-13-362-66-399-299-174-31-305-100-167--401
