total_number_routes=19
total_route_len=30656.001
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1272.418 992 1001-36-662-39-983-469-397-649-395-705-736-7-910-387-563-996-327-1000-280-879-815-635-209-54-208-278-698-482-492-626-71-980-399-266-398-277-804-292-56-979-933-212-919-855-495-130-978-593-557-179--1001
2 1559.628 999 1001-89-76-279-37-668-257-709-120-674-142-62-966-433-666-133-180-711-306-385-283-77-795-107-943-947-608-913-605-224-477-486-763-383-331-756-173-518-470-326-497-617-366-300-683-565-962-723-712-299-3-692-348-402--1001
3 1614.691 989 1001-116-921-624-704-371-809-639-798-871-308-825-25-11-908-75-500-274-776-538-783-357-217-800-298-531-55-2-612-574-40-64-91-81-188-923-297-903-540-753-422-645-650-447-324-590-695-830-597-568-779-230--1001
4 1528.502 926 1001-139-364-386-703-155-435-522-569-198-489-346-517-163-271-391-172-982-24-419-615-532-468-38-135-902-226-560-335-5-989-205-374-189-725-664-707-260-90-296-265-858-757-60-959-997-149-177-126-144-281-294-912--1001
5 1349.896 779 1001-191-718-738-828-598-185-429-409-68-632-29-32-987-423-523-83-546-455-619-971-824-114-70-541-922-237-524-595-656-138-267-166-746-507-860-243-158-743-273--1001
6 1406.124 987 1001-313-251-977-849-269-250-872-481-301-276-197-358-543-439-334-573-341-554-817-164-128-592-863-85-352-159-791-755-123-434-688-940-956-509-600-715-101-511-420-745-961-259-998-248-356-937-69-604-529-727-320-207-716-520-487--1001
7 2021.123 914 1001-316-946-349-20-476-244-132-131-307-752-210-660-533-827-510-445-638-875-823-627-861-448-321-699-790-186-992-401-103-134-895-544-780-333-618-762-822-768-93-728-735-272-655-465-438-665-202-171-907-53-787-801-506-290-667-426-973-411--1001
8 1875.133 986 1001-350-951-381-805-986-80-41-258-601-777-970-238-84-925-851-784-960-104-117-939-663-701-901-480-570-504-17-883-10-906-460-796-634-967-918-774-169-461-841-418-545-394-859-118-240-48-995-891-305-505-981-789-147-911-581-400--1001
9 2008.189 963 1001-493-436-677-351-564-968-988-33-760-61-459-314-837-162-263-972-840-904-201-112-332-4-929-747-567-34-199-700-680-864-122-958-121-211-722-200-96-99-483-808-109-945-873-380-156-555-614-577-270-682-472-287-542-58-19--1001
10 1556.968 970 1001-503-113-193-786-446-141-325-672-473-309-339-648-831-253-310-985-146-328-905-609-437-521-376-526-499-781-275-842-591-706-613-628-485-52-868-527-407-45-845-857-734-222-767-406-463-140-42-8-414-535-775-994-553-336-944--1001
11 1424.745 1000 1001-547-802-421-59-816-368-899-536-953-991-778-754-640-654-108-345-866-602-49-318-740-160-867-556-417-610-811-835-588-293-43-611-239-375-30-466-174-748-931-629-869-498-317-471-187-384-741-702-671-607-464-596-241-338-303--1001
12 1755.627 1000 1001-806-284-235-337-255-456-111-377-833-192-832-616-246-228-813-731-599-914-633-549-264-771-231-865-110-282-843-766-976-389-286-1-890-382-218-413-681-181-9-582-289-942-31-675-361-949-127-427-525-670-606-190-165-27--1001
13 1710.667 996 1001-807-548-72-583-678-393-124-168-150-530-405-561-889-686-892-788-924-458-646-194-106-941-161-810-587-876-88-729-440-687-799-129-516-47-291-920-916-514-21-125-764-566-196-501-930-330-474-585-214-355-874-453-392-372--1001
14 1241.539 847 1001-818-490-782-204-934-22-826-295-644-12-915-765-236-558-932-16-737-51-696-697-182-909-579-814-143-360-362-225-938-647-963-721-44-232-955-304-302-343-57-689-312-625-329--1001
15 1853.444 990 1001-850-145-67-432-491-449-502-378-631-450-15-373-367-408-761-152-685-167-442-216-475-528-136-233-365-797-94-363-206-340-894-26-948-496-659-636-148-416-119-637-245-878-900-311-369-862-969-733-730-252-658-229-881--1001
16 1422.066 981 1001-880-203-653-354-183-221-936-578-641-551-18-388-621-836-927-261-479-772-462-242-744-404-508-254-623-268-773-884-684-379-669-720-643-622-990-14-534-952-844-515-965-370-690-157-467-589-926-603-679-576-50-839--1001
17 1736.969 917 1001-898-803-739-793-512-792-769-256-571-412-820-847-215-673-457-319-630-488-717-708-877-92-770-829-794-262-586-885-975-834-342-79-424-443-853-742-676-425-856-661-724-478-98-63-620-396-65-344-651-838-430--1001
18 1791.576 910 1001-984-170-323-494-957-484-288-785-575-315-732-175-249-562-176-657-758-13-115-572-322-974-882-713-247-23-359-213-46-66-999-195-935-819-821-285-691-86-897-759-714-954-431-854-964-750-154--1001
19 1526.695 972 1001-993-220-454-73-594-852-917-846-550-451-513-893-812-719-153-428-693-347-219-694-227-726-353-82-28-584-151-403-928-102-552-559-751-223-234-178-444-642-749-97-74-78-441-886-537-35-105-410-519--1001
