total_number_routes=18
total_route_len=3306.207
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 260.538 197 201-4-188-15-184-166-153-71-193-33-186-144-179-190-167--201
2 235.341 190 201-13-20-98-163-136-95-177-6-189-102-10-83--201
3 232.751 200 201-18-14-50-66-131-86-160-130-11-116-25--201
4 181.979 199 201-46-54-85-94-12-96-29-37-110--201
5 135.818 193 201-57-173-100-159-104-84-32-138-52--201
6 203.081 198 201-63-68-44-158-120-176-51-126-156-172-79--201
7 171.401 197 201-87-35-145-112-30-34-62-194-142-128-88--201
8 175.398 188 201-89-106-125-151-129-191-43-65-141--201
9 207.300 198 201-92-48-161-8-76-2-17-200-40-183--201
10 192.547 188 201-114-19-178-23-22-82-47-58-127-77-198-74--201
11 118.522 182 201-132-155-67-55-7-41-157-72-56-175--201
12 125.952 200 201-140-196-73-60-99-152-118-38-90-39--201
13 204.360 195 201-143-26-123-21-168-139-187-78-148--201
14 209.550 198 201-146-16-115-162-170-171-122-42-53--201
15 250.660 196 201-147-135-93-199-109-64-133-195-27-49-61-28--201
16 93.037 194 201-149-81-1-69-134-103-124--201
17 163.609 200 201-150-137-36-5-3-117-180-80-182--201
18 144.363 200 201-165-31-113-185-169-181-121-111--201
