total_number_routes=15
total_route_len=22402.786
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1722.160 949 801-127-290-521-384-80-755-352-255-370-390-677-706-364-486-777-22-109-576-506-637-519-306-770-739-728-529-213-149-387-621-726-665-480-540-75-441-537-730-264-696-660-228-662-760-411-359-133-646-716-42-190-404-307-763--801
2 1505.896 974 801-194-592-788-67-144-536-497-643-548-612-498-578-443-335-26-51-106-267-535-338-655-784-383-437-224-477-374-375-489-72-669-197-532-657-243-318-294-258-43-431-560-353-69-54-631-179-396-251-667-400-46--801
3 1646.955 868 801-236-585-16-771-604-225-533-527-474-391-721-40-280-463-492-246-97-789-309-705-538-754-355-666-298-241-781-516-472-3-392-645-198-607-562-321-570-446-413-259-66-165-346-14-212-303-461-683--801
4 1643.786 987 801-381-216-76-405-581-58-210-176-394-333-685-196-491-115-782-758-33-661-361-232-336-349-295-690-283-140-93-528-101-693-740-471-746-173-595-504-765-292-615-735-687-484-642-145-95-45-53-199-453-278-185-385-378-152--801
5 1571.932 1000 801-451-440-282-482-419-733-27-182-582-673-235-602-341-678-415-4-63-380-348-49-150-386-448-483-39-767-365-372-24-541-757-253-226-141-515-114-249-511-19-565-310-438-745-276-260-468-186-60-450-316-277-161--801
6 1510.638 980 801-452-279-44-526-403-12-399-222-50-575-591-552-698-668-679-727-752-688-748-356-92-600-648-682-543-406-281-313-170-487-500-102-162-738-613-617-73-398-467-121-200-713-445-134-360-741-539-175-357-791-376-598-709-427-339-531-157-171-731-293-579-215--801
7 1386.780 903 801-485-493-1-273-288-393-68-566-275-455-525-88-772-87-695-425-120-625-299-762-573-456-556-707-189-319-123-125-99-786-697-779-90-334-634-18-366-395-61-742-787-608-557-314-596-41-429-723-55-9-239-627-432-7--801
8 1257.178 962 801-520-684-512-180-297-414-108-424-640-639-711-494-457-704-670-622-753-402-606-586-734-630-654-563-86-686-674-510-761-59-800-34-83-567-158-17-358-594-409-744-659-676-146-701-524-230-229-166-638-221-382--801
9 1530.869 998 801-559-344-94-218-508-105-729-153-340-577-465-320-444-502-301-98-530-167-593-147-342-680-308-110-776-652-423-155-636-629-36-401-81-312-750-620-70-368-268-555-247-240-129-517-343-626-128-244-131-611-553-74-371-71--801
10 1189.289 737 801-584-233-315-658-722-428-11-207-15-719-699-65-649-632-430-143-317-644-495-664-768-250-256-764-534-523-692-795-550-694-747-417-507-25-184-544-589-56-31--801
11 1678.035 987 801-614-139-712-192-442-126-587-724-720-148-650-117-112-37-588-262-714-774-426-269-119-702-628-187-601-130-736-160-499-675-84-610-671-737-546-347-367-412-780-263-700-514-32-191-284-30-227-603-605-362-551-458-266-325-569-783--801
12 1592.368 993 801-618-2-418-373-202-329-619-188-794-470-509-327-350-641-447-142-181-337-78-21-193-542-769-271-488-205-434-583-35-473-766-177-421-13-82-793-20-647-590-481-351-454-305-163-345-242-96-91-138-178-725-564-756-496-234-223-464-296-775--801
13 1431.870 996 801-623-136-231-111-23-254-168-322-420-151-433-363-107-408-354-708-28-104-732-169-798-797-422-778-478-379-743-156-624-245-751-122-796-132-311-257-154-261-435-790-691-545-203-513-460-29-323-286-238-85-300-377-672-703--801
14 1439.675 997 801-653-505-459-100-633-304-597-326-656-289-558-369-522-52-6-651-116-439-715-710-490-773-397-389-561-518-718-568-174-449-635-62-469-220-89-287-183-208-137-503-324-204-135-252-285-206-466-113-164-159-681-571--801
15 1295.354 899 801-749-248-291-407-616-475-172-416-785-689-572-10-574-211-599-118-79-663-48-332-792-64-388-476-302-547-717-554-195-270-330-265-799-410-274-479-549-214-77-462-8-124-38-217-580--801
