total_number_routes=18
total_route_len=20243.191
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1359.675 978 1001-93-850-271-741-88-49-297-256-409-915-639-719-712-56-910-773-948-651-83-468-392-949-3-213-499-200-848-939-999-962-443-658-290-104-72-277-807-378-893-4-524-671-15-582-936-39-986-460-262-218--1001
2 1197.313 992 1001-101-464-976-647-161-14-304-845-367-45-613-449-40-618-923-134-203-424-635-414-803-737-64-286-945-319-193-919-50-7-799-789-759-423-109-632-372-526-898-415-743-530-294-935-79-506-394-151-555-457-333-187-663-450-190-270--1001
3 1243.336 996 1001-115-533-325-720-129-676-474-1000-732-175-908-452-377-364-856-809-682-336-231-873-195-998-504-110-454-969-708-122-108-965-132-320-571-576-331-977-784-865-985-399-561-780-953-263-288-365-546-729-232-901-978-16-121-661-673-726-769--1001
4 1055.185 972 1001-176-793-659-59-149-590-368-370-957-354-974-932-82-436-878-362-475-710-906-853-225-534-148-37-330-324-353-681-289-404-164-84-480-680-439-8-968-617-217-265-237-202-398-459-498-29-70-332-98-662-758-722-597-224-67--1001
5 1177.398 992 1001-234-714-314-959-754-753-944-808-388-27-342-137-947-827-31-479-733-885-44-653-411-174-92-563-916-621-310-212-373-543-700-125-596-800-312-306-254-510-313-80-614-832-688-772-536-904-166-633-34-346-500-961--1001
6 1019.769 973 1001-272-344-386-605-293-706-248-501-53-578-54-565-528-169-797-849-852-441-715-435-810-699-981-118-667-870-490-884-636-326-654-94-796-540-259-750-209-558-564-429-48-997-926-85-273-927-531-291--1001
7 1204.707 1000 1001-275-285-192-162-135-360-38-300-725-298-958-471-401-233-768-672-875-888-591-776-150-716-950-361-35-938-117-446-552-813-675-345-637-963-219-665-896-594-249-247-390-604-191-749-611-444-648-299-600-928-520-912-649-250-430-338-992--1001
8 1077.356 945 1001-384-269-711-363-801-155-693-495-794-227-491-133-764-428-707-516-483-691-603-323-891-731-89-123-690-188-777-548-375-971-713-573-560-260-215-889-678-854-567-329-341-934-537-201-973-863-24-826-655-989-114-541-677-669-527--1001
9 1235.624 997 1001-451-437-228-581-311-855-2-448-440-240-327-107-549-10-657-238-876-281-679-507-220-839-466-746-197-229-740-585-752-328-815-825-860-76-357-917-465-61-913-280-138-182-622-761-208-106-13-656-463-485-442-257-78-487-154-862--1001
10 1024.592 992 1001-477-727-316-350-588-514-517-405-426-52-602-806-68-954-143-883-74-874-522-956-91-493-890-245-170-756-599-351-226-486-592-918-775-136-447-692-515-303-683-650-629-877-379-519-778-820-412-951-159-529-478-595--1001
11 1085.474 1000 1001-538-979-817-395-355-900-627-887-47-988-857-907-937-615-307-496-811-421-993-575-842-902-75-160-645-382-97-100-243-728-19-139-535-369-513-696-505-930-823-77-562-116-742-408-18-684-497-879-786-970-995-882-805-86-818-302-868--1001
12 1053.182 996 1001-542-644-181-481-909-894-631-931-63-518-685-545-315-146-105-724-179-798-702-821-71-630-253-828-431-211-473-512-55-892-774-1-802-58-831-598-577-95-897-194-840-432-482-184-843-718-36-301-492-26-207-222-284-792-771--1001
13 1076.765 992 1001-779-859-660-607-760-317-391-765-557-767-933-866-51-709-612-762-21-236-96-643-22-553-287-819-721-142-751-941-646-952-198-282-223-274-844-131-112-445-322-570-781-470-403-982-371-42-568-652-413-186-385-836-940-994-723-730-124-153-864--1001
14 1023.527 1000 1001-795-389-402-393-87-11-556-738-494-532-960-755-544-81-216-352-66-472-210-416-834-886-90-745-467-698-173-641-509-258-292-785-666-539-996-419-434-697-920-168-503-113-17-734-347-744-911-427-735--1001
15 1218.780 1000 1001-871-374-65-251-583-791-334-60-869-587-601-822-830-152-381-586-102-739-703-309-689-782-335-880-120-634-111-975-966-625-376-589-554-783-924-461-980-359-340-46-619-366-946-140-128-276-185-972-12-609-417-835-608-308-383-144-387--1001
16 1149.269 999 1001-922-547-626-984-837-867-668-628-25-847-833-987-925-705-157-664-268-593-905-318-489-606-624-62-747-812-9-704-397-279-899-858-358-550-32-119-348-147-255-283-551-642-770-130-295-766-569-469-511-433-221-623-163-30-484-967-349-126--1001
17 870.214 1000 1001-929-686-453-261-695-5-763-406-787-264-235-814-171-239-321-267-579-841-521-736-180-903-670-523-824-804-20-861-638-23-455-196-616-165-278-41-829-701-183-337-456-242-167-380-990-57-846-172-620-205-33-103-674-502-69--1001
18 1171.024 998 1001-991-252-407-244-6-955-189-199-508-43-305-425-566-748-462-694-177-127-438-851-881-943-204-422-343-816-266-914-572-418-488-559-640-145-28-788-525-241-574-339-942-99-410-687-717-73-921-156-895-964-356-584-476-872--1001
