total_number_routes=18
total_route_len=3006.930
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 109.902 199 201-4-92-195-41-129-194-166--201
2 188.458 199 201-29-188-177-65-128-168-99-94-151-112-50--201
3 216.586 196 201-31-52-74-101-53-192-160-109-189-125--201
4 211.400 200 201-42-197-181-122-77-35-164-104-25-10-170-19-193--201
5 111.082 191 201-72-169-161-119-98-16-40-147-158--201
6 136.712 190 201-84-199-127-176-113-191-88-87--201
7 100.843 200 201-89-100-37-21-139-143-59-12-9-66--201
8 223.625 196 201-134-58-69-105-118-137-123-75-13-8-60-1--201
9 141.071 200 201-136-3-180-43-124-102-196-184-190-80-27--201
10 193.074 193 201-140-54-155-121-115-144-11-71-17-174--201
11 108.788 198 201-142-24-183-18-7-179-15-156-131--201
12 172.756 198 201-150-28-6-14-79-96-185-141-2-76-34--201
13 285.814 200 201-152-167-61-198-111-91-51-145-116-44-95-83--201
14 167.440 199 201-153-49-47-200-103-90-68-110-178--201
15 176.853 200 201-163-187-130-171-132-78-162-63-149-73-146-93--201
16 130.513 200 201-172-138-46-159-5-62-26-20-186--201
17 152.515 200 201-173-165-85-45-56-108-38-32-23-117-114--201
18 179.499 199 201-182-57-133-22-106-70-55-81--201
